scene_id,beat_id,row_type,speaker,text,voice_target,expression,body_action,bg,bgm,sfx,choice_group,choice_text,choice_target,condition,effects,memory_refs,qa_notes
S001,S001R4-001,command,,changeBg:bg_station_night_rain.png,,,,bg_station_night_rain.png,rain_shift.ogg,,,,,,,,开场
S001,S001R4-002,narration,,值班室墙上贴着异常人员处置流程，塑封边翘起一条白边。,,,邵宁把交班表从泡软的杯垫下抽出来,,rain_shift.ogg,fluorescent_hum,,,,,,core_theme,社会机器出现
S001,S001R4-003,narration,,闸机屏还亮着红字。二十三点五十八分，一条进站记录卡在末班之后。,,,岑遥鞋沿的水滴进黄线内,,,,,,,,,OBJ_turnstile_screen,异常记录
S001,S001R4-004,dialogue,CHR_shaoning,黄线外。,岗位/短令,hard,邵宁没有抬头，先把异常事件表摊开,,,,,,,,,voice_shaoning,流程开场
S001,S001R4-005,dialogue,CHR_cenyao,我没过闸。,碎句/否认,wet,岑遥往后挪半步，鞋尖还压着黄线,,,,,,,,,voice_cenyao,错位
S001,S001R4-006,dialogue,CHR_shaoning,你脚在里面。,事实/压低,hard,他的笔停在进站方式一栏,,,,,,,,,voice_shaoning,抓事实
S001,S001R4-007,dialogue,CHR_cenyao,线画歪了。,反咬/硬撑,guarded,她看地面，不看墙上的流程图,,,,,,,,,voice_cenyao,嘴硬
S001,S001R4-008,dialogue,CHR_shaoning,线歪不归我管。人归我管。,岗位/责任,hard,邵宁把工牌拨到胸前,,,,,,,,,voice_shaoning,岗位责任
S001,S001R4-009,dialogue,CHR_cenyao,那你别把我交出去。,直求/压住,wet,她袖口里的湿票根被攥出一道折,,,,,,,,,voice_cenyao,第一次露底
S001,S001R4-010,dialogue,CHR_shaoning,交给谁？,追问/不接情绪,alert,他看了一眼值班电话,,,,,,,,,voice_shaoning,逼具体
S001,S001R4-011,dialogue,CHR_cenyao,表上那一串人。,回避/指物,guarded,她用下巴点墙上的家属联系人栏,,,,,,,,,voice_cenyao,不说家
S001,S001R4-012,dialogue,CHR_shaoning,那叫联系人。,纠正/流程,hard,邵宁把联系人三个字圈住,,,,,,,,,voice_shaoning,术语遮情绪
S001,S001R4-013,dialogue,CHR_cenyao,叫得好听点就不来抓我了？,反问/刺,wet,她的手从袖口里出来，又缩回去,,,,,,,,,voice_cenyao,社会后果
S001,S001R4-014,narration,,值班电话响了一声，屏幕弹出站务群消息：末班异常请十分钟内报备。,,,邵宁伸手按掉铃，没回群,,,phone_buzz,,,,,,OBJ_phone_group,倒计时
S001,S001R4-015,dialogue,CHR_shaoning,身份证。,流程/短令,hard,他把报备时限写在表角,,,,,,,,,voice_shaoning,流程压力
S001,S001R4-016,dialogue,CHR_cenyao,没带。,碎句/老答案,blank,岑遥把湿票根压在掌心,,,,,,,,,voice_cenyao,拒绝
S001,S001R4-017,dialogue,CHR_shaoning,学籍号也行。,替代/试探,neutral,邵宁翻到备注栏,,,,,,,,,voice_shaoning,社会网格
S001,S001R4-018,dialogue,CHR_cenyao,休了。,短句/防御,guarded,她咬住最后一个字,,,,,,,,,voice_cenyao,身份裂缝
S001,S001R4-019,dialogue,CHR_shaoning,休学不等于查不到。,压迫/事实,hard,他停笔，没往下写,,,,,,,,,voice_shaoning,知道后果
S001,S001R4-020,dialogue,CHR_cenyao,所以我才让你先看纸。,急/转物,wet,她把票根拍在登记簿边上,,,,,,,,,voice_cenyao,把求助藏进证据
